"species","x","y"
"unique_occ",146.4125,-35.2131
"unique_occ",146.4125,-35.213
"unique_occ",140.61562,-35.21229
"unique_occ",140.61431,-35.20854
"unique_occ",140.61456,-35.20838
"unique_occ",140.61352,-35.20636
"unique_occ",140.78552,-35.20435
"unique_occ",140.78502,-35.20359
"unique_occ",140.61097,-35.2022
"unique_occ",140.61013,-35.20056
"unique_occ",138.5,-35.2
"unique_occ",140.78553,-35.19694
"unique_occ",140.60777,-35.19556
"unique_occ",140.5424,-35.19502
"unique_occ",140.54947,-35.195
"unique_occ",140.55221,-35.19455
"unique_occ",140.78518,-35.19374
"unique_occ",139.3491553,-35.1926115
"unique_occ",140.78557,-35.19194
"unique_occ",140.50435,-35.18609
"unique_occ",140.78038,-35.18601
"unique_occ",140.50423,-35.186
"unique_occ",140.50378,-35.18552
"unique_occ",140.50322,-35.18488
"unique_occ",140.50209,-35.18356
"unique_occ",140.50194,-35.18349
"unique_occ",138.51918,-35.17358
"unique_occ",138.50717,-35.1724
"unique_occ",138.9477691,-35.1701146
"unique_occ",147.37,-35.17
"unique_occ",138.66667,-35.16667
"unique_occ",138.47902,-35.16584
"unique_occ",138.53257,-35.16412
"unique_occ",138.48173,-35.16302
"unique_occ",138.50352,-35.15723
"unique_occ",138.4763835,-35.14761827
"unique_occ",139.02626,-35.14664
"unique_occ",139.2735952,-35.1201117
"unique_occ",147.37,-35.12
"unique_occ",139.90973,-35.10264
"unique_occ",147.4,-35.1
"unique_occ",139.95353,-35.09269
"unique_occ",138.5372122,-35.08955744
"unique_occ",148.1009914,-35.06532405
"unique_occ",139.26528,-35.05611003
"unique_occ",138.6513807,-35.05566633
"unique_occ",138.5125,-35.055
"unique_occ",139.11667,-35.05
"unique_occ",138.55711,-35.04343
"unique_occ",138.5861,-35.03868
"unique_occ",138.55055,-35.03631
"unique_occ",138.5608213,-35.03483694
"unique_occ",138.5697112,-35.02983684
"unique_occ",138.5952708,-35.02122658
"unique_occ",138.5613811,-35.01511682
"unique_occ",138.5833,-35
"unique_occ",147.4,-35
"unique_occ",138.55,-35
"unique_occ",138.58,-35
"unique_occ",138.553321,-34.99872679
"unique_occ",138.5619308,-34.9953967
"unique_occ",138.6049903,-34.98816632
"unique_occ",138.5669306,-34.98289659
"unique_occ",138.5908204,-34.9823364
"unique_occ",138.519991,-34.97650693
"unique_occ",139.0855351,-34.95150227
"unique_occ",138.58368,-34.94506
"unique_occ",138.58361,-34.94500003
"unique_occ",138.5991597,-34.92844602
"unique_occ",138.6422,-34.92145
"unique_occ",138.64222,-34.92139003
"unique_occ",148.17,-34.92
"unique_occ",138.5952695,-34.90678593
"unique_occ",138.71061,-34.90338
"unique_occ",138.63333,-34.9
"unique_occ",138.629429,-34.89761561
"unique_occ",138.71825,-34.89433
"unique_occ",138.6388787,-34.87955543
"unique_occ",147.57,-34.87
"unique_occ",147.584326,-34.86532712
"unique_occ",147.58455,-34.86512003
"unique_occ",138.6763781,-34.86066502
"unique_occ",147.5806,-34.8583
"unique_occ",147.5805,-34.8583
"unique_occ",138.6122087,-34.85650551
"unique_occ",138.61667,-34.85
"unique_occ",138.73333,-34.85
"unique_occ",138.62,-34.85
"unique_occ",138.73817,-34.83905
"unique_occ",138.4977696,-34.83678632
"unique_occ",138.7,-34.83333
"unique_occ",138.6872077,-34.83289478
"unique_occ",138.90819,-34.8259
"unique_occ",138.61639,-34.82389003
"unique_occ",138.7316571,-34.82372438
"unique_occ",138.68333,-34.81667
"unique_occ",138.59611,-34.81306003
"unique_occ",140.6457973,-34.80842918
"unique_occ",138.90539,-34.80642
"unique_occ",138.60583,-34.80306
"unique_occ",138.6266579,-34.8028951
"unique_occ",147.6,-34.8
"unique_occ",148.2,-34.8
"unique_occ",138.68332,-34.78568
"unique_occ",138.68749,-34.78512
"unique_occ",138.69614,-34.78482
"unique_occ",138.69415,-34.78429
"unique_occ",138.68331,-34.78401
"unique_occ",138.68333,-34.78333
"unique_occ",138.69304,-34.78235
"unique_occ",138.68331,-34.78207
"unique_occ",138.68109,-34.78207
"unique_occ",138.67998,-34.78207
"unique_occ",138.67554,-34.78207
"unique_occ",138.68109,-34.78124
"unique_occ",138.6736,-34.78123
"unique_occ",138.6747,-34.78123
"unique_occ",138.69415,-34.78068
"unique_occ",138.6911,-34.78068
"unique_occ",138.67804,-34.78041
"unique_occ",138.68888,-34.7804
"unique_occ",138.67692,-34.7804
"unique_occ",138.67998,-34.7804
"unique_occ",138.67887,-34.7804
"unique_occ",138.68998,-34.7804
"unique_occ",138.67582,-34.78013
"unique_occ",138.6747,-34.78013
"unique_occ",138.68,-34.78
"unique_occ",138.68998,-34.77957
"unique_occ",138.67582,-34.77929
"unique_occ",138.67915,-34.77929
"unique_occ",138.67803,-34.77929
"unique_occ",138.69038,-34.77898
"unique_occ",138.68998,-34.77874
"unique_occ",138.69443,-34.77873
"unique_occ",138.67582,-34.77846
"unique_occ",138.68027,-34.77846
"unique_occ",138.67804,-34.77846
"unique_occ",138.67915,-34.77846
"unique_occ",138.67692,-34.77846
"unique_occ",138.67692,-34.77763
"unique_occ",138.68248,-34.77762
"unique_occ",138.68137,-34.77762
"unique_occ",138.67915,-34.77762
"unique_occ",138.67804,-34.77762
"unique_occ",138.68026,-34.77679
"unique_occ",138.67804,-34.77679
"unique_occ",138.67915,-34.77679
"unique_occ",138.68026,-34.77596
"unique_occ",138.68332,-34.77595
"unique_occ",138.67804,-34.77568
"unique_occ",138.67915,-34.77485
"unique_occ",138.69318,-34.7735
"unique_occ",145.26272,-34.76856003
"unique_occ",138.63333,-34.76667
"unique_occ",138.5863779,-34.76594521
"unique_occ",138.6410973,-34.76428476
"unique_occ",139.21446,-34.76022
"unique_occ",139.21272,-34.76001
"unique_occ",139.21275,-34.76
"unique_occ",139.21272,-34.75998
"unique_occ",139.21504,-34.75882
"unique_occ",139.21973,-34.75661
"unique_occ",139.22059,-34.75541
"unique_occ",139.21438,-34.75353
"unique_occ",138.5824878,-34.75344517
"unique_occ",139.22203,-34.75309
"unique_occ",139.22224,-34.75257
"unique_occ",139.22232,-34.75217
"unique_occ",139.22297,-34.75045
"unique_occ",146.55,-34.75
"unique_occ",139.21653,-34.7498
"unique_occ",139.21656,-34.74979
"unique_occ",139.21683,-34.74926
"unique_occ",139.21685,-34.74919
"unique_occ",139.265,-34.74888
"unique_occ",139.22219,-34.74849
"unique_occ",139.21287,-34.74812
"unique_occ",139.22397,-34.74796
"unique_occ",139.22398,-34.74781
"unique_occ",139.23672,-34.74778
"unique_occ",139.30443,-34.74762
"unique_occ",139.26642,-34.74648
"unique_occ",139.22032,-34.74647
"unique_occ",139.2194,-34.74541
"unique_occ",139.21964,-34.74526
"unique_occ",139.22279,-34.74435
"unique_occ",138.56856,-34.74352
"unique_occ",139.23025,-34.74299
"unique_occ",138.9397041,-34.74261227
"unique_occ",139.22071,-34.74237
"unique_occ",138.5355381,-34.74233548
"unique_occ",139.27017,-34.73945
"unique_occ",139.27094,-34.73782
"unique_occ",139.27153,-34.73693
"unique_occ",139.25975,-34.73614
"unique_occ",139.26031,-34.73592
"unique_occ",148.05,-34.7333
"unique_occ",140.55348,-34.73295
"unique_occ",139.26981,-34.73085
"unique_occ",148.05,-34.73
"unique_occ",140.70128,-34.72443
"unique_occ",140.69899,-34.72407
"unique_occ",140.62457,-34.7214
"unique_occ",140.7302454,-34.71926807
"unique_occ",139.36856,-34.71631
"unique_occ",138.55782,-34.71568
"unique_occ",138.56705,-34.7136
"unique_occ",138.5726,-34.71253
"unique_occ",138.57254,-34.71236
"unique_occ",138.59006,-34.71109
"unique_occ",138.58986,-34.711
"unique_occ",138.55873,-34.71026
"unique_occ",138.57889,-34.70615
"unique_occ",138.57874,-34.70601
"unique_occ",138.60725,-34.70594
"unique_occ",146.5160079,-34.70199431
"unique_occ",138.58176,-34.70108
"unique_occ",138.58189,-34.70093
"unique_occ",146.6,-34.7
"unique_occ",138.55829,-34.69938
"unique_occ",138.59806,-34.69805
"unique_occ",138.59787,-34.69797
"unique_occ",138.6430365,-34.69594437
"unique_occ",139.33966,-34.69512
"unique_occ",139.33939,-34.69292
"unique_occ",138.7688,-34.69015
"unique_occ",138.7688,-34.69004
"unique_occ",138.61049,-34.68961
"unique_occ",138.61898,-34.6874
"unique_occ",138.59074,-34.6873
"unique_occ",138.56673,-34.68547
"unique_occ",145.29439,-34.68282003
"unique_occ",138.56008,-34.68268
"unique_occ",138.70229,-34.68154
"unique_occ",138.58994,-34.68097
"unique_occ",138.76912,-34.68051
"unique_occ",138.52251,-34.68047
"unique_occ",138.54586,-34.6803
"unique_occ",138.58418,-34.67848
"unique_occ",138.62484,-34.6781
"unique_occ",138.77197,-34.67752
"unique_occ",140.51695,-34.6762
"unique_occ",140.70743,-34.67588
"unique_occ",138.56314,-34.67512
"unique_occ",138.53638,-34.67409
"unique_occ",138.52307,-34.67378
"unique_occ",138.52328,-34.67373
"unique_occ",138.7712,-34.67348
"unique_occ",138.53029,-34.67247
"unique_occ",138.53023,-34.6723
"unique_occ",138.63069,-34.66881
"unique_occ",138.6166,-34.66873
"unique_occ",138.560817,-34.66816487
"unique_occ",138.5262,-34.66682
"unique_occ",147.5333,-34.6667
"unique_occ",-58.33333,-34.66667
"unique_occ",139.30944,-34.6661
"unique_occ",138.53495,-34.66504
"unique_occ",138.545,-34.66484
"unique_occ",138.60623,-34.66405
"unique_occ",138.63088,-34.663
"unique_occ",138.52863,-34.66087
"unique_occ",138.52883,-34.6608
"unique_occ",147.53,-34.66
"unique_occ",138.6367,-34.65946
"unique_occ",138.60845,-34.65916
"unique_occ",138.6168,-34.65691
"unique_occ",139.30135,-34.65552
"unique_occ",138.52926,-34.65508
"unique_occ",140.69398,-34.65488
"unique_occ",140.69231,-34.65227
"unique_occ",138.53857,-34.65197
"unique_occ",139.29817,-34.65166
"unique_occ",139.25284,-34.65093
"unique_occ",138.77327,-34.64997
"unique_occ",138.57884,-34.64916
"unique_occ",138.58183,-34.6489
"unique_occ",138.54494,-34.64742
"unique_occ",138.62278,-34.6463
"unique_occ",138.45985,-34.64593
"unique_occ",138.78723,-34.64557
"unique_occ",138.78782,-34.6451
"unique_occ",138.54062,-34.64492
"unique_occ",139.37091,-34.6448
"unique_occ",138.78923,-34.64421
"unique_occ",140.68603,-34.64246
"unique_occ",140.68622,-34.64238
"unique_occ",138.79176,-34.64218
"unique_occ",138.79176,-34.64188
"unique_occ",138.79178,-34.64175
"unique_occ",138.79192,-34.64133
"unique_occ",138.79194,-34.6411
"unique_occ",138.54842,-34.64104
"unique_occ",138.76912,-34.63972
"unique_occ",138.54846,-34.63846
"unique_occ",138.47185,-34.63261
"unique_occ",138.73056,-34.63250003
"unique_occ",138.47182,-34.63221
"unique_occ",138.51702,-34.63086
"unique_occ",138.78547,-34.63017
"unique_occ",138.66401,-34.62993
"unique_occ",140.67802,-34.62955
"unique_occ",138.68079,-34.62917
"unique_occ",138.78053,-34.6291
"unique_occ",138.76378,-34.62856
"unique_occ",138.76384,-34.62852
"unique_occ",138.76386,-34.62847
"unique_occ",138.76377,-34.62847
"unique_occ",138.76335,-34.62812
"unique_occ",138.76276,-34.62797
"unique_occ",138.76321,-34.62782
"unique_occ",138.76254,-34.62733
"unique_occ",138.7628,-34.62703
"unique_occ",138.76173,-34.62612
