species,x,y
Solanum elaeagnifolium,140.51708,-35.42073
Solanum elaeagnifolium,147.62,-35.42
Solanum elaeagnifolium,140.49689,-35.40697
Solanum elaeagnifolium,139.3994272,-35.39928226
Solanum elaeagnifolium,-64.9208,-35.3869
Solanum elaeagnifolium,-64.9208,-35.3869
Solanum elaeagnifolium,-64.9208,-35.3869
Solanum elaeagnifolium,-64.9208,-35.3869
Solanum elaeagnifolium,-64.9208,-35.3869
Solanum elaeagnifolium,-64.9208,-35.3869
Solanum elaeagnifolium,-64.9208,-35.3869
Solanum elaeagnifolium,-64.9208,-35.3869
Solanum elaeagnifolium,-64.9208,-35.3869
Solanum elaeagnifolium,-64.9208,-35.3869
Solanum elaeagnifolium,-64.9208,-35.3869
Solanum elaeagnifolium,-64.9208,-35.3869
Solanum elaeagnifolium,-64.9208,-35.3869
Solanum elaeagnifolium,-64.9208,-35.3869
Solanum elaeagnifolium,-64.9208,-35.3869
Solanum elaeagnifolium,-64.9208,-35.3869
Solanum elaeagnifolium,-64.9208,-35.3869
Solanum elaeagnifolium,-64.9208,-35.3869
Solanum elaeagnifolium,-64.9208,-35.3869
Solanum elaeagnifolium,-64.9208,-35.3869
Solanum elaeagnifolium,-64.9208,-35.3869
Solanum elaeagnifolium,-64.9208,-35.3869
Solanum elaeagnifolium,-64.9208,-35.3869
Solanum elaeagnifolium,-64.9208,-35.3869
Solanum elaeagnifolium,-64.9208,-35.3869
Solanum elaeagnifolium,-64.9208,-35.3869
Solanum elaeagnifolium,-64.9208,-35.3869
Solanum elaeagnifolium,140.15,-35.38333
Solanum elaeagnifolium,142.1902371,-35.38175996
Solanum elaeagnifolium,142.1902371,-35.38175996
Solanum elaeagnifolium,142.1902371,-35.38175996
Solanum elaeagnifolium,142.1902371,-35.38175996
Solanum elaeagnifolium,142.1902371,-35.38175996
Solanum elaeagnifolium,142.1902371,-35.38175996
Solanum elaeagnifolium,142.1902371,-35.38175996
Solanum elaeagnifolium,142.1902371,-35.38175996
Solanum elaeagnifolium,138.98956,-35.38007
Solanum elaeagnifolium,140.6266441,-35.37621229
Solanum elaeagnifolium,145.72,-35.37
Solanum elaeagnifolium,145.72,-35.37
Solanum elaeagnifolium,142.1833,-35.3667
Solanum elaeagnifolium,142.1833,-35.3667
Solanum elaeagnifolium,139.40056,-35.36667003
Solanum elaeagnifolium,146.08943,-35.36147003
Solanum elaeagnifolium,142.18,-35.36
Solanum elaeagnifolium,142.18,-35.36
Solanum elaeagnifolium,139.00366,-35.35767
Solanum elaeagnifolium,138.9927,-35.34673
Solanum elaeagnifolium,138.99039,-35.34001
Solanum elaeagnifolium,138.98976,-35.33981
Solanum elaeagnifolium,138.99085,-35.33976
Solanum elaeagnifolium,138.98991,-35.33957
Solanum elaeagnifolium,138.99085,-35.33953
Solanum elaeagnifolium,140.41819,-35.33913
Solanum elaeagnifolium,138.99105,-35.33903
Solanum elaeagnifolium,138.99208,-35.33825
Solanum elaeagnifolium,138.99235,-35.33822
Solanum elaeagnifolium,138.99339,-35.33619
Solanum elaeagnifolium,138.99925,-35.33604
Solanum elaeagnifolium,138.99343,-35.33527
Solanum elaeagnifolium,138.99452,-35.33453
Solanum elaeagnifolium,145.7166,-35.3333
Solanum elaeagnifolium,145.7167,-35.3333
Solanum elaeagnifolium,139.00786,-35.33272
Solanum elaeagnifolium,139.00794,-35.3324
Solanum elaeagnifolium,138.943601,-35.33233556
Solanum elaeagnifolium,138.943601,-35.33233556
Solanum elaeagnifolium,146.2676879,-35.3319985
Solanum elaeagnifolium,146.2676879,-35.3319985
Solanum elaeagnifolium,146.2676879,-35.3319985
Solanum elaeagnifolium,146.2676879,-35.3319985
Solanum elaeagnifolium,146.2676879,-35.3319985
Solanum elaeagnifolium,146.2676879,-35.3319985
Solanum elaeagnifolium,140.52635,-35.32995
Solanum elaeagnifolium,140.52635,-35.32974
Solanum elaeagnifolium,139.0078,-35.32952
Solanum elaeagnifolium,140.4399755,-35.32899352
Solanum elaeagnifolium,140.5169147,-35.32899291
Solanum elaeagnifolium,138.99748,-35.32852
Solanum elaeagnifolium,139.00836,-35.32469
Solanum elaeagnifolium,138.99809,-35.32469
Solanum elaeagnifolium,148.95035,-35.32222003
Solanum elaeagnifolium,139.00919,-35.32169
Solanum elaeagnifolium,138.99697,-35.32081
Solanum elaeagnifolium,138.9968,-35.31689
Solanum elaeagnifolium,138.98757,-35.31642
Solanum elaeagnifolium,138.99074,-35.31447
Solanum elaeagnifolium,138.98338,-35.31128
Solanum elaeagnifolium,138.97495,-35.3088
Solanum elaeagnifolium,138.47628,-35.30775
Solanum elaeagnifolium,139.01881,-35.30734
Solanum elaeagnifolium,145.659,-35.3019
Solanum elaeagnifolium,145.7,-35.3
Solanum elaeagnifolium,145.7,-35.3
Solanum elaeagnifolium,147.6,-35.3
Solanum elaeagnifolium,138.96609,-35.29935
Solanum elaeagnifolium,139.01304,-35.29903
Solanum elaeagnifolium,140.6756,-35.2963
Solanum elaeagnifolium,139.48064,-35.27867
Solanum elaeagnifolium,139.47946,-35.27787
Solanum elaeagnifolium,140.60827,-35.27755
Solanum elaeagnifolium,139.47218,-35.27182
Solanum elaeagnifolium,138.48,-35.27
Solanum elaeagnifolium,146.9667,-35.2667
Solanum elaeagnifolium,138.48333,-35.26667
Solanum elaeagnifolium,139.42534,-35.26342
Solanum elaeagnifolium,138.8961006,-35.25400549
Solanum elaeagnifolium,140.94279,-35.25214
Solanum elaeagnifolium,138.9,-35.25
Solanum elaeagnifolium,138.9,-35.25
Solanum elaeagnifolium,138.9,-35.25
Solanum elaeagnifolium,138.9,-35.25
Solanum elaeagnifolium,138.9,-35.25
Solanum elaeagnifolium,138.9,-35.25
Solanum elaeagnifolium,138.9,-35.25
Solanum elaeagnifolium,138.9,-35.25
Solanum elaeagnifolium,138.9,-35.25
Solanum elaeagnifolium,138.9,-35.25
Solanum elaeagnifolium,138.9,-35.25
Solanum elaeagnifolium,138.91872,-35.24985
Solanum elaeagnifolium,138.92326,-35.24777
Solanum elaeagnifolium,140.60071,-35.23517
Solanum elaeagnifolium,140.6181,-35.23471
Solanum elaeagnifolium,140.61366,-35.23468
Solanum elaeagnifolium,140.61538,-35.23466
Solanum elaeagnifolium,138.4758245,-35.22983875
Solanum elaeagnifolium,140.62159,-35.22027
Solanum elaeagnifolium,140.62144,-35.22009
Solanum elaeagnifolium,140.6202,-35.21865
Solanum elaeagnifolium,140.61949,-35.21787
Solanum elaeagnifolium,140.61894,-35.21719
Solanum elaeagnifolium,140.61784,-35.21583
Solanum elaeagnifolium,146.4125,-35.2131
Solanum elaeagnifolium,146.4125,-35.213
Solanum elaeagnifolium,140.61562,-35.21229
Solanum elaeagnifolium,140.61431,-35.20854
Solanum elaeagnifolium,140.61456,-35.20838
Solanum elaeagnifolium,140.61352,-35.20636
Solanum elaeagnifolium,140.78552,-35.20435
Solanum elaeagnifolium,140.78502,-35.20359
Solanum elaeagnifolium,140.61097,-35.2022
Solanum elaeagnifolium,140.61013,-35.20056
Solanum elaeagnifolium,138.5,-35.2
Solanum elaeagnifolium,140.78553,-35.19694
Solanum elaeagnifolium,140.60777,-35.19556
Solanum elaeagnifolium,140.5424,-35.19502
Solanum elaeagnifolium,140.54947,-35.195
Solanum elaeagnifolium,140.55221,-35.19455
Solanum elaeagnifolium,140.78518,-35.19374
Solanum elaeagnifolium,139.3491553,-35.1926115
Solanum elaeagnifolium,140.78557,-35.19194
Solanum elaeagnifolium,140.50435,-35.18609
Solanum elaeagnifolium,140.78038,-35.18601
Solanum elaeagnifolium,140.50423,-35.186
Solanum elaeagnifolium,140.50378,-35.18552
Solanum elaeagnifolium,140.50322,-35.18488
Solanum elaeagnifolium,140.50209,-35.18356
Solanum elaeagnifolium,140.50194,-35.18349
Solanum elaeagnifolium,138.51918,-35.17358
Solanum elaeagnifolium,138.50717,-35.1724
Solanum elaeagnifolium,138.9477691,-35.1701146
Solanum elaeagnifolium,147.37,-35.17
Solanum elaeagnifolium,138.66667,-35.16667
Solanum elaeagnifolium,138.47902,-35.16584
Solanum elaeagnifolium,138.53257,-35.16412
Solanum elaeagnifolium,138.53257,-35.16412
Solanum elaeagnifolium,138.48173,-35.16302
Solanum elaeagnifolium,138.50352,-35.15723
Solanum elaeagnifolium,138.4763835,-35.14761827
Solanum elaeagnifolium,139.02626,-35.14664
Solanum elaeagnifolium,139.2735952,-35.1201117
Solanum elaeagnifolium,139.2735952,-35.1201117
Solanum elaeagnifolium,147.37,-35.12
Solanum elaeagnifolium,139.90973,-35.10264
Solanum elaeagnifolium,147.4,-35.1
Solanum elaeagnifolium,139.95353,-35.09269
Solanum elaeagnifolium,138.5372122,-35.08955744
Solanum elaeagnifolium,148.1009914,-35.06532405
Solanum elaeagnifolium,139.26528,-35.05611003
Solanum elaeagnifolium,138.6513807,-35.05566633
Solanum elaeagnifolium,138.5125,-35.055
Solanum elaeagnifolium,139.11667,-35.05
Solanum elaeagnifolium,139.11667,-35.05
Solanum elaeagnifolium,139.11667,-35.05
Solanum elaeagnifolium,138.55711,-35.04343
Solanum elaeagnifolium,138.5861,-35.03868
Solanum elaeagnifolium,138.55055,-35.03631
Solanum elaeagnifolium,138.5608213,-35.03483694
Solanum elaeagnifolium,138.5608213,-35.03483694
Solanum elaeagnifolium,138.5697112,-35.02983684
Solanum elaeagnifolium,138.5952708,-35.02122658
Solanum elaeagnifolium,138.5613811,-35.01511682
Solanum elaeagnifolium,138.5833,-35
Solanum elaeagnifolium,147.4,-35
Solanum elaeagnifolium,138.55,-35
Solanum elaeagnifolium,138.5833,-35
Solanum elaeagnifolium,138.58,-35
Solanum elaeagnifolium,138.553321,-34.99872679
Solanum elaeagnifolium,138.5619308,-34.9953967
Solanum elaeagnifolium,138.5619308,-34.9953967
Solanum elaeagnifolium,138.5619308,-34.9953967
Solanum elaeagnifolium,138.5619308,-34.9953967
Solanum elaeagnifolium,138.6049903,-34.98816632
Solanum elaeagnifolium,138.5669306,-34.98289659
